city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Ratchaburi,Ratchaburi,13.5419,99.8215,Thailand,TH,THA,Ratchaburi,admin,106996,1764773366
Taungoo,Taungoo,18.9483,96.4179,Burma,MM,MMR,Bago,,106945,1104269989
Douliu,Douliu,23.7075,120.5439,Taiwan,TW,TWN,Yunlin,admin,106653,1158732750
Longjiang,Longjiang,47.3404,123.18,China,CN,CHN,Heilongjiang,minor,106384,1156263974
Raba,Raba,-8.45,118.7666,Indonesia,ID,IDN,Nusa Tenggara Barat,minor,106101,1360014952
Lahad Datu,Lahad Datu,5.0464,118.336,Malaysia,MY,MYS,Sabah,,105622,1458472057
Kon Tum,Kon Tum,14.3838,107.9833,Vietnam,VN,VNM,Kon Tum,,105489,1704082555
Hòa Bình,Hoa Binh,20.8137,105.3383,Vietnam,VN,VNM,Hòa Bình,admin,105260,1704237072
Nong Khai,Nong Khai,17.8733,102.7479,Thailand,TH,THA,Nong Khai,admin,104505,1764279113
Maumere,Maumere,-8.6189,122.2123,Indonesia,ID,IDN,Nusa Tenggara Timur,minor,104285,1360776014
Kilinochchi,Kilinochchi,9.4004,80.3999,Sri Lanka,LK,LKA,Northern,,103717,1144468936
Biak,Biak,-1.1615,136.0485,Indonesia,ID,IDN,Papua,minor,103610,1360911386
Prabumulih,Prabumulih,-3.4432,104.2315,Indonesia,ID,IDN,Sumatera Selatan,minor,103470,1360148993
Vĩnh Long,Vinh Long,10.256,105.964,Vietnam,VN,VNM,Vĩnh Long,admin,103314,1704262419
Roxas City,Roxas City,11.5853,122.7511,Philippines,PH,PHL,Capiz,admin,102688,1608344583
Houzhuang,Houzhuang,35.62,111.21,China,CN,CHN,Shanxi,,102400,1156080869
Bontang,Bontang,0.1333,117.5,Indonesia,ID,IDN,Kalimantan Timur,,101691,1360692406
Teluk Intan,Teluk Intan,4.0119,101.0314,Malaysia,MY,MYS,Perak,,101659,1458126062
Dera Ismail Khan,Dera Ismail Khan,31.829,70.8986,Pakistan,PK,PAK,Khyber Pakhtunkhwa,minor,101616,1586008360
Sakata,Sakata,38.92,139.8501,Japan,JP,JPN,Yamagata,,100446,1392418961
Chanthaburi,Chanthaburi,12.6133,102.0979,Thailand,TH,THA,Chanthaburi,admin,99819,1764151688
Tumen,Tumen,42.97,129.8201,China,CN,CHN,Jilin,,99721,1156872358
Galle,Galle,6.03,80.24,Sri Lanka,LK,LKA,Southern,admin,99478,1144191486
Ozamiz City,Ozamiz City,8.1462,123.8444,Philippines,PH,PHL,Misamis Occidental,,97806,1608100412
Yên Bái,Yen Bai,21.705,104.875,Vietnam,VN,VNM,Yên Bái,admin,96540,1704249231
Yishui,Yishui,35.7904,118.62,China,CN,CHN,Shandong,,94115,1156736933
Dalai,Dalai,45.5,124.3,China,CN,CHN,Jilin,,93297,1156912899
Kohima,Kohima,25.667,94.1166,India,IN,IND,Nāgāland,admin,92113,1356332206
Phetchaburi,Phetchaburi,13.1133,99.9412,Thailand,TH,THA,Phetchaburi,admin,90497,1764000534
Fujin,Fujin,47.2704,132.02,China,CN,CHN,Heilongjiang,,89442,1156404715
Wangqing,Wangqing,43.3248,129.7343,China,CN,CHN,Jilin,minor,88732,1156184335
Surigao,Surigao,9.7843,125.4888,Philippines,PH,PHL,Surigao del Norte,admin,87832,1608611556
Mishan,Mishan,45.5504,131.88,China,CN,CHN,Heilongjiang,,87257,1156267144
Nenjiang,Nenjiang,49.18,125.23,China,CN,CHN,Heilongjiang,minor,87236,1156694308
Chumphon,Chumphon,10.5127,99.1872,Thailand,TH,THA,Chumphon,admin,85686,1764012939
Kampong Cham,Kampong Cham,12.0004,105.45,Cambodia,KH,KHM,Kampong Cham,admin,83233,1116115849
Nan,Nan,18.7868,100.7715,Thailand,TH,THA,Nan,admin,82483,1764061223
Cukai,Cukai,4.2332,103.4479,Malaysia,MY,MYS,Terengganu,,82425,1458033606
Prachin Buri,Prachin Buri,14.0572,101.3768,Thailand,TH,THA,Prachin Buri,admin,79757,1764262472
Shulan,Shulan,44.4091,126.9487,China,CN,CHN,Jilin,,78764,1156989733
Sagaing,Sagaing,21.88,95.962,Burma,MM,MMR,Sagaing,admin,78739,1104151403
Gangtok,Gangtok,27.3333,88.6166,India,IN,IND,Sikkim,admin,77900,1356689564
Uttaradit,Uttaradit,17.6316,100.0972,Thailand,TH,THA,Uttaradit,admin,76630,1764146253
Sakon Nakhon,Sakon Nakhon,17.1679,104.1479,Thailand,TH,THA,Sakon Nakhon,admin,76237,1764476362
Kampong Chhnang,Kampong Chhnang,12.2505,104.6666,Cambodia,KH,KHM,Kampong Chhnang,admin,75244,1116735270
Manokwari,Manokwari,-0.8711,134.0693,Indonesia,ID,IDN,Papua Barat,admin,74504,1360451991
Shancheng,Shancheng,34.7904,116.08,China,CN,CHN,Shandong,,74459,1156514157
Prey Veng,Prey Veng,11.484,105.324,Cambodia,KH,KHM,Prey Veng,admin,74000,1116378797
Anlu,Anlu,31.27,113.67,China,CN,CHN,Hubei,minor,71198,1156406202
Saraburi,Saraburi,14.5304,100.88,Thailand,TH,THA,Sara Buri,admin,70769,1764111243
Tuy Hòa,Tuy Hoa,13.082,109.316,Vietnam,VN,VNM,Phú Yên,admin,69596,1704697424
Matara,Matara,5.949,80.5428,Sri Lanka,LK,LKA,Southern,,68244,1144127163
Narathiwat,Narathiwat,6.4318,101.8214,Thailand,TH,THA,Narathiwat,admin,68112,1764748532
Putrajaya,Putrajaya,2.914,101.7019,Malaysia,MY,MYS,Putrajaya,admin,67964,1458000206
Calbayog City,Calbayog City,12.0672,124.6042,Philippines,PH,PHL,Samar,,67921,1608088739
Lào Cai,Lao Cai,22.5014,103.966,Vietnam,VN,VNM,Lào Cai,admin,67206,1704290986
Panaji,Panaji,15.492,73.818,India,IN,IND,Goa,admin,65586,1356909212
Nepālgañj,Nepalganj,28.0503,81.6167,Nepal,NP,NPL,,,64400,1524207917
Kangar,Kangar,6.433,100.19,Malaysia,MY,MYS,Perlis,admin,63869,1458939333
Kanchanaburi,Kanchanaburi,14.0174,99.522,Thailand,TH,THA,Kanchanaburi,admin,63699,1764455558
Samut Sakhon,Samut Sakhon,13.536,100.274,Thailand,TH,THA,Samut Sakhon,admin,63498,1764502057
Surin,Surin,14.8868,103.4915,Thailand,TH,THA,Surin,admin,62536,1764813179
Jianguang,Jianguang,28.2004,115.77,China,CN,CHN,Jiangxi,,61469,1156545200
Bến Tre,Ben Tre,10.235,106.375,Vietnam,VN,VNM,Bến Tre,admin,59442,1704108909
Kamphaeng Phet,Kamphaeng Phet,16.473,99.529,Thailand,TH,THA,Kamphaeng Phet,admin,58787,1764367755
Chaiyaphum,Chaiyaphum,15.804,102.0386,Thailand,TH,THA,Chaiyaphum,admin,58350,1764784757
Hải Dương,Hai Duong,20.942,106.331,Vietnam,VN,VNM,Hải Dương,admin,58030,1704909566
Suileng,Suileng,47.246,127.106,China,CN,CHN,Heilongjiang,minor,57789,1156128173
Lop Buri,Lop Buri,14.804,100.6186,Thailand,TH,THA,Lop Buri,admin,57761,1764574750
Magong,Magong,23.5667,119.5833,Taiwan,TW,TWN,Penghu,admin,56435,1158297836
Nakhon Phanom,Nakhon Phanom,17.3945,104.7695,Thailand,TH,THA,Nakhon Phanom,admin,55377,1764103547
Kalasin,Kalasin,16.428,103.509,Thailand,TH,THA,Kalasin,admin,55102,1764060973
Bắc Giang,Bac Giang,21.267,106.2,Vietnam,VN,VNM,Bắc Giang,admin,53728,1704256754
Suphan Buri,Suphan Buri,14.471,100.129,Thailand,TH,THA,Suphan Buri,admin,53399,1764759549
Pursat,Pursat,12.5337,103.9167,Cambodia,KH,KHM,Pursat,admin,52476,1116566865
Maha Sarakham,Maha Sarakham,16.184,103.298,Thailand,TH,THA,Maha Sarakham,admin,51584,1764568961
Phetchabun,Phetchabun,16.419,101.159,Thailand,TH,THA,Phetchabun,admin,50656,1764518331
Sisophon,Sisophon,13.5838,102.9833,Cambodia,KH,KHM,Banteay Meanchey,admin,50302,1116276411
Kampot,Kampot,10.6171,104.1833,Cambodia,KH,KHM,Kampot,admin,50105,1116966757
Hpa-An,Hpa-An,16.85,97.6167,Burma,MM,MMR,Kayin State,admin,50000,1104494124
Chachoengsao,Chachoengsao,13.679,101.076,Thailand,TH,THA,Chachoengsao,admin,49741,1764632382
Songkhla,Songkhla,7.21,100.56,Thailand,TH,THA,Songkhla,admin,48616,1764543650
Vigan,Vigan,17.5747,120.3869,Philippines,PH,PHL,Ilocos Sur,admin,48545,1608368724
Ratnapura,Ratnapura,6.693,80.386,Sri Lanka,LK,LKA,Sabaragamuwa,admin,47832,1144739208
Badulla,Badulla,6.9837,81.0499,Sri Lanka,LK,LKA,Uva,admin,47587,1144962750
Buri Ram,Buri Ram,15.0004,103.1166,Thailand,TH,THA,Buriram,admin,47292,1764141031
Puttalam,Puttalam,8.033,79.826,Sri Lanka,LK,LKA,North Western,,45661,1144219740
Itanagar,Itanagar,27.1004,93.6166,India,IN,IND,Arunāchal Pradesh,admin,44971,1356023817
Si Sa Ket,Si Sa Ket,15.1203,104.3298,Thailand,TH,THA,Sisaket,admin,44751,1764002764
Phatthalung,Phatthalung,7.615,100.081,Thailand,TH,THA,Phatthalung,admin,43522,1764240863
Cao Bằng,Cao Bang,22.664,106.268,Vietnam,VN,VNM,Cao Bằng,admin,41112,1704552735
Daman,Daman,20.417,72.85,India,IN,IND,Damān and Diu,admin,39737,1356008028
Roi Et,Roi Et,16.051,103.655,Thailand,TH,THA,Roi Et,admin,39328,1764216668
Phrae,Phrae,18.1533,100.1629,Thailand,TH,THA,Phrae,admin,38538,1764209592
Hà Giang,Ha Giang,22.8337,104.9833,Vietnam,VN,VNM,Hà Giang,admin,38362,1704495953
Rayong,Rayong,12.6718,101.2815,Thailand,TH,THA,Rayong,admin,37035,1764920057
Tuyên Quang,Tuyen Quang,21.818,105.211,Vietnam,VN,VNM,Tuyên Quang,admin,36430,1704662313
Phichit,Phichit,16.439,100.349,Thailand,TH,THA,Phichit,admin,35760,1764024236
Loei,Loei,17.4919,101.7315,Thailand,TH,THA,Loei,admin,35273,1764996883
Samut Songkhram,Samut Songkhram,13.413,100.001,Thailand,TH,THA,Samut Songkhram,admin,35065,1764305010
Taibao,Taibao,23.45,120.3333,Taiwan,TW,TWN,Chiayi,admin,35000,1158657404
Satun,Satun,6.6167,100.0667,Thailand,TH,THA,Satun,admin,34544,1764836023
Prachuap Khiri Khan,Prachuap Khiri Khan,11.803,99.8,Thailand,TH,THA,Prachuap Khiri Khan,admin,33521,1764877766
Kampong Speu,Kampong Speu,11.452,104.519,Cambodia,KH,KHM,Kampong Speu,admin,33231,1116446492
Tak,Tak,16.8847,99.1293,Thailand,TH,THA,Tak,admin,33146,1764055292
Koh Kong,Koh Kong,11.6175,102.9849,Cambodia,KH,KHM,Koh Kong,admin,33134,1116924669
Krabi,Krabi,8.052,98.912,Thailand,TH,THA,Krabi,admin,31219,1764587855
Stung Treng,Stung Treng,13.523,105.974,Cambodia,KH,KHM,Stung Treng,admin,29665,1116286673
Bắc Kạn,Bac Kan,22.1333,105.8333,Vietnam,VN,VNM,Bắc Kạn,admin,29227,1704000217
Silvassa,Silvassa,20.2666,73.0166,India,IN,IND,Dādra and Nagar Haveli,admin,27359,1356217846
Ranong,Ranong,9.962,98.638,Thailand,TH,THA,Ranong,admin,24561,1764623795
Tbeng Meanchey,Tbeng Meanchey,13.8167,104.9667,Cambodia,KH,KHM,Preah Vihear,admin,24380,1116207762
Svay Rieng,Svay Rieng,11.08,105.801,Cambodia,KH,KHM,Svay Rieng,admin,23956,1116432743
Uthai Thani,Uthai Thani,15.3819,100.0264,Thailand,TH,THA,Uthai Thani,admin,22219,1764844835
Yasothon,Yasothon,15.788,104.151,Thailand,TH,THA,Yasothon,admin,21643,1764520637
Trat,Trat,12.237,102.509,Thailand,TH,THA,Trat,admin,21590,1764126822
Nakhon Nayok,Nakhon Nayok,14.2,101.216,Thailand,TH,THA,Nakhon Nayok,admin,21309,1764068248
Phayao,Phayao,19.1707,99.9083,Thailand,TH,THA,Phayao,admin,21058,1764291128
Sing Buri,Sing Buri,14.887,100.401,Thailand,TH,THA,Sing Buri,admin,20046,1764482111
Hakha,Hakha,22.65,93.6167,Burma,MM,MMR,Chin State,admin,20000,1104739581
Kratie,Kratie,12.469,106.024,Cambodia,KH,KHM,Kratie,admin,19975,1116453792
Sơn La,Son La,21.328,103.91,Vietnam,VN,VNM,Sơn La,admin,19054,1704957010
Đông Hà,Dong Ha,16.85,107.1333,Vietnam,VN,VNM,Quảng Trị,admin,17662,1704264596
Loikaw,Loikaw,19.665,97.206,Burma,MM,MMR,Kayah State,admin,17293,1104542517
Dispur,Dispur,26.144,91.7666,India,IN,IND,Assam,admin,16140,1356960169
Chai Nat,Chai Nat,15.179,100.126,Thailand,TH,THA,Chai Nat,admin,15469,1764848732
Takeo,Takeo,10.9838,104.7833,Cambodia,KH,KHM,Takeo,admin,15264,1116674518
Lamphun,Lamphun,18.503,99.074,Thailand,TH,THA,Lamphun,admin,14030,1764104264
Ang Thong,Ang Thong,14.5833,100.45,Thailand,TH,THA,Ang Thong,admin,13738,1764529940
Kavaratti,Kavaratti,10.5626,72.6369,India,IN,IND,Lakshadweep,admin,10688,1356089869
Sukhothai,Sukhothai,17.0119,99.7515,Thailand,TH,THA,Sukhothai,admin,10276,1764175777
Phangnga,Phangnga,8.451,98.534,Thailand,TH,THA,Phangnga,admin,9676,1764855952
Mae Hong Son,Mae Hong Son,19.301,97.969,Thailand,TH,THA,Mae Hong Son,admin,9109,1764090874
Sen Monorom,Sen Monorom,12.45,107.2,Cambodia,KH,KHM,Mondolkiri,admin,7944,1116978997
Magugpo Poblacion,Magugpo Poblacion,7.3821,125.8017,Philippines,PH,PHL,Davao del Norte,,6726,1608255342
San Carlos,San Carlos,10.5504,123.38,Philippines,PH,PHL,Negros Occidental,,6353,1608048026
Fulin,Fulin,29.35,102.7167,China,CN,CHN,Sichuan,,1049,1156759821
Gingoog,Gingoog,8.8304,125.13,Philippines,PH,PHL,Misamis Oriental,,218,1608630986
Antipolo,Antipolo,14.5886,121.1757,Philippines,PH,PHL,Rizal,admin,,1608824345
Navotas,Navotas,14.6477,120.9591,Philippines,PH,PHL,Navotas,admin,,1608538447
Mandaluyong City,Mandaluyong City,14.5832,121.0409,Philippines,PH,PHL,Mandaluyong,admin,,1608166320
Mandaue City,Mandaue City,10.3237,123.9436,Philippines,PH,PHL,Mandaue,admin,,1608794590
Pasig City,Pasig City,14.5604,121.0812,Philippines,PH,PHL,Pasig,admin,,1608278212
Banqiao,Banqiao,25.0143,121.4672,Taiwan,TW,TWN,New Taipei,admin,,1158987347
Caloocan City,Caloocan City,14.6492,120.9826,Philippines,PH,PHL,Caloocan,admin,,1608897690
San Juan,San Juan,14.6,121.0333,Philippines,PH,PHL,San Juan,admin,,1608817515
Valenzuela,Valenzuela,14.6936,120.9656,Philippines,PH,PHL,Valenzuela,admin,,1608492120
City of Parañaque,City of Paranaque,14.4978,120.9907,Philippines,PH,PHL,Parañaque,admin,,1608379532
Lucena,Lucena,13.9348,121.6127,Philippines,PH,PHL,Lucena,admin,,1608000461
Masbate,Masbate,12.3687,123.6225,Philippines,PH,PHL,Masbate,admin,,1608802236
Tandag,Tandag,9.0783,126.1986,Philippines,PH,PHL,Surigao del Sur,admin,,1608155856
Malabon,Malabon,14.6691,120.972,Philippines,PH,PHL,Malabon,admin,,1608045841
Oroquieta,Oroquieta,8.4859,123.8048,Philippines,PH,PHL,Misamis Occidental,admin,,1608239509
Đà Nẵng,Da Nang,16.0748,108.224,Vietnam,VN,VNM,Đà Nẵng,admin,,1704949870
Catarman,Catarman,12.4989,124.6377,Philippines,PH,PHL,Northern Samar,admin,,1608432162
La Trinidad,La Trinidad,16.4556,120.5903,Philippines,PH,PHL,Benguet,admin,,1608000107
Marawi City,Marawi City,8.0034,124.2839,Philippines,PH,PHL,Lanao del Sur,admin,,1608812117
Taguig City,Taguig City,14.5289,121.0723,Philippines,PH,PHL,Taguig,admin,,1608766695
Lapu-Lapu City,Lapu-Lapu City,10.3103,123.9494,Philippines,PH,PHL,Lapu-Lapu,admin,,1608430676
Balanga,Balanga,14.6761,120.5361,Philippines,PH,PHL,Bataan,admin,,1608467104
Santiago,Santiago,16.6881,121.5472,Philippines,PH,PHL,Santiago,admin,,1608477470
Dumaguete City,Dumaguete City,9.307,123.3074,Philippines,PH,PHL,Negros Oriental,admin,,1608682936
Marikina City,Marikina City,14.6414,121.1118,Philippines,PH,PHL,Marikina,admin,,1608000077
Sorsogon,Sorsogon,12.9708,124.0053,Philippines,PH,PHL,Sorsogon,admin,,1608265953
Kalibo,Kalibo,11.7086,122.3648,Philippines,PH,PHL,Aklan,admin,,1608268539
Kidapawan,Kidapawan,7.0083,125.0894,Philippines,PH,PHL,Cotabato,admin,,1608883158
San Jose,San Jose,10.745,121.9415,Philippines,PH,PHL,Antique,admin,,1608138574
Daet,Daet,14.1122,122.9553,Philippines,PH,PHL,Camarines Norte,admin,,1608562606
Virac,Virac,13.5848,124.2374,Philippines,PH,PHL,Catanduanes,admin,,1608265120
Bắc Ninh,Bac Ninh,21.1861,106.0763,Vietnam,VN,VNM,Bắc Ninh,admin,,1704025181
Bayombong,Bayombong,16.4812,121.1497,Philippines,PH,PHL,Nueva Vizcaya,admin,,1608066874
Jolo,Jolo,6.0522,121.0022,Philippines,PH,PHL,Sulu,admin,,1608685440
Bongao,Bongao,5.0292,119.7731,Philippines,PH,PHL,Tawi-Tawi,admin,,1608490585
Saitama,Saitama,35.9,139.65,Japan,JP,JPN,Saitama,admin,,1392017719
Calapan,Calapan,13.4108,121.1797,Philippines,PH,PHL,Oriental Mindoro,admin,,1608578259
Tagum,Tagum,7.4475,125.8094,Philippines,PH,PHL,Davao del Norte,admin,,1608755366
Muntinlupa City,Muntinlupa City,14.4135,121.0263,Philippines,PH,PHL,Muntinlupa,admin,,1608473406
Catbalogan,Catbalogan,11.7753,124.8861,Philippines,PH,PHL,Samar,admin,,1608878798
Digos,Digos,6.7497,125.3572,Philippines,PH,PHL,Davao del Sur,admin,,1608635653
Hưng Yên,Hung Yen,20.6464,106.0511,Vietnam,VN,VNM,Hưng Yên,admin,,1704000203
Makati City,Makati City,14.5501,121.036,Philippines,PH,PHL,Makati,admin,,1608725647
Isulan,Isulan,6.6294,124.6051,Philippines,PH,PHL,Sultan Kudarat,admin,,1608085930
Trece Martires City,Trece Martires City,14.2832,120.8677,Philippines,PH,PHL,Cavite,admin,,1608990723
Boac,Boac,13.4463,121.84,Philippines,PH,PHL,Marinduque,admin,,1608972476
Janakpur,Janakpur,26.7288,85.9263,Nepal,NP,NPL,,admin,,1524563587
Tubod,Tubod,8.0555,123.7904,Philippines,PH,PHL,Lanao del Norte,admin,,1608442374
Mamburao,Mamburao,13.2233,120.596,Philippines,PH,PHL,Occidental Mindoro,admin,,1608912012
Nabunturan,Nabunturan,7.6029,125.9629,Philippines,PH,PHL,Compostela Valley,admin,,1608879246
Malita,Malita,6.415,125.6117,Philippines,PH,PHL,Davao Occidental,admin,,1608802375
Maasin,Maasin,10.1336,124.8447,Philippines,PH,PHL,Southern Leyte,admin,,1608244406
Chiba,Chiba,35.6,140.1167,Japan,JP,JPN,Chiba,admin,,1392107144
Bangued,Bangued,17.5982,120.6155,Philippines,PH,PHL,Abra,admin,,1608442037
Mambajao,Mambajao,9.2504,124.7156,Philippines,PH,PHL,Camiguin,admin,,1608281273
Naval,Naval,11.5612,124.3952,Philippines,PH,PHL,Biliran,admin,,1608929611
Dipolog,Dipolog,8.5883,123.3409,Philippines,PH,PHL,Zamboanga del Norte,admin,,1608664300
Kampong Thom,Kampong Thom,12.7111,104.8887,Cambodia,KH,KHM,Kampong Thom,admin,,1116471297
San Fernando,San Fernando,16.6186,120.3194,Philippines,PH,PHL,La Union,admin,,1608635527
Iba,Iba,15.3276,119.978,Philippines,PH,PHL,Zambales,admin,,1608986957
Ta Khmau,Ta Khmau,11.4833,104.95,Cambodia,KH,KHM,Kandal,admin,,1116571704
Malolos,Malolos,14.8443,120.8104,Philippines,PH,PHL,Bulacan,admin,,1608358783
Lingayen,Lingayen,16.0218,120.2319,Philippines,PH,PHL,Pangasinan,admin,,1608464071
Banlung,Banlung,13.7394,106.9873,Cambodia,KH,KHM,Ratanakiri,admin,,1116605438
Phủ Lý,Phu Ly,20.5453,105.9122,Vietnam,VN,VNM,Hà Nam,admin,,1704841896
Romblon,Romblon,12.5751,122.2708,Philippines,PH,PHL,Romblon,admin,,1608428749
Alabel,Alabel,6.1018,125.2905,Philippines,PH,PHL,Sarangani,admin,,1608579431
Baler,Baler,15.7589,121.5607,Philippines,PH,PHL,Aurora,admin,,1608495530
Siquijor,Siquijor,9.2142,123.515,Philippines,PH,PHL,Siquijor,admin,,1608692949
Butwāl,Butwal,27.7006,83.4484,Nepal,NP,NPL,,admin,,1524843250
Sihanoukville,Sihanoukville,10.6359,103.5017,Cambodia,KH,KHM,Sihanoukville,admin,,1116098692
Vĩnh Yên,Vinh Yen,21.3089,105.6049,Vietnam,VN,VNM,Vĩnh Phúc,admin,,1704905946
Borongan,Borongan,11.6081,125.4319,Philippines,PH,PHL,Eastern Samar,admin,,1608990192
